person_id,legal_name_canonical,legal_name_variants,date_of_birth,nationality,pep_status,sanctions_screening_state,last_kyc_refresh
P-001,Person 001,Person 001|P001 Alias,1980-02-15,GB,none,clear,2026-05-01T00:00:00Z
P-002,Person 002,Person 002|P002 Alias,1980-03-15,DE,none,clear,2026-05-01T00:00:00Z
P-003,Person 003,Person 003|P003 Alias,1980-04-15,KY,none,clear,2026-05-01T00:00:00Z
P-004,Person 004,Person 004|P004 Alias,1980-05-15,VG,none,clear,2026-05-01T00:00:00Z
P-005,Person 005,Person 005|P005 Alias,1980-06-15,US,none,clear,2026-05-01T00:00:00Z
P-006,Person 006,Person 006|P006 Alias,1980-07-15,GB,none,clear,2026-05-01T00:00:00Z
P-007,Person 007,Person 007|P007 Alias,1980-08-15,DE,none,clear,2026-05-01T00:00:00Z
P-008,Person 008,Person 008|P008 Alias,1980-09-15,KY,none,clear,2026-05-01T00:00:00Z
P-009,Person 009,Person 009|P009 Alias,1980-10-15,VG,none,clear,2026-05-01T00:00:00Z
P-010,Person 010,Person 010|P010 Alias,1980-11-15,US,none,clear,2026-05-01T00:00:00Z
P-011,Person 011,Person 011|P011 Alias,1980-12-15,GB,none,clear,2026-05-01T00:00:00Z
P-012,Person 012,Person 012|P012 Alias,1980-01-15,DE,none,clear,2026-05-01T00:00:00Z
P-013,Person 013,Person 013|P013 Alias,1980-02-15,KY,none,clear,2026-05-01T00:00:00Z
P-014,Person 014,Person 014|P014 Alias,1980-03-15,VG,none,clear,2026-05-01T00:00:00Z
P-015,Person 015,Person 015|P015 Alias,1980-04-15,US,none,clear,2026-05-01T00:00:00Z
P-016,Person 016,Person 016|P016 Alias,1980-05-15,GB,none,clear,2026-05-01T00:00:00Z
P-017,Person 017,Person 017|P017 Alias,1980-06-15,DE,none,clear,2026-05-01T00:00:00Z
P-018,Person 018,Person 018|P018 Alias,1980-07-15,KY,none,clear,2026-05-01T00:00:00Z
P-019,Person 019,Person 019|P019 Alias,1980-08-15,VG,none,clear,2026-05-01T00:00:00Z
P-020,Person 020,Person 020|P020 Alias,1980-09-15,US,none,clear,2026-05-01T00:00:00Z
P-021,Person 021,Person 021|P021 Alias,1980-10-15,GB,none,clear,2026-05-01T00:00:00Z
P-022,Person 022,Person 022|P022 Alias,1980-11-15,DE,none,clear,2026-05-01T00:00:00Z
P-023,Person 023,Person 023|P023 Alias,1980-12-15,KY,none,clear,2026-05-01T00:00:00Z
P-024,Person 024,Person 024|P024 Alias,1980-01-15,VG,none,clear,2026-05-01T00:00:00Z
P-025,Person 025,Person 025|P025 Alias,1980-02-15,US,none,clear,2026-05-01T00:00:00Z
P-026,Person 026,Person 026|P026 Alias,1980-03-15,GB,none,clear,2026-05-01T00:00:00Z
P-027,Person 027,Person 027|P027 Alias,1980-04-15,DE,none,clear,2026-05-01T00:00:00Z
P-028,Person 028,Person 028|P028 Alias,1980-05-15,KY,none,clear,2026-05-01T00:00:00Z
P-029,Person 029,Person 029|P029 Alias,1980-06-15,VG,none,clear,2026-05-01T00:00:00Z
P-030,Person 030,Person 030|P030 Alias,1980-07-15,US,none,clear,2026-05-01T00:00:00Z
P-031,Person 031,Person 031|P031 Alias,1980-08-15,GB,none,clear,2026-05-01T00:00:00Z
P-032,Person 032,Person 032|P032 Alias,1980-09-15,DE,none,clear,2026-05-01T00:00:00Z
P-033,Person 033,Person 033|P033 Alias,1980-10-15,KY,none,clear,2026-05-01T00:00:00Z
P-034,Person 034,Person 034|P034 Alias,1980-11-15,VG,none,clear,2026-05-01T00:00:00Z
P-035,Person 035,Person 035|P035 Alias,1980-12-15,US,none,clear,2026-05-01T00:00:00Z
P-036,Person 036,Person 036|P036 Alias,1980-01-15,GB,none,clear,2026-05-01T00:00:00Z
P-037,Person 037,Person 037|P037 Alias,1980-02-15,DE,none,clear,2026-05-01T00:00:00Z
P-038,Person 038,Person 038|P038 Alias,1980-03-15,KY,none,clear,2026-05-01T00:00:00Z
P-039,Person 039,Person 039|P039 Alias,1980-04-15,VG,none,clear,2026-05-01T00:00:00Z
P-040,Person 040,Person 040|P040 Alias,1980-05-15,US,none,clear,2026-05-01T00:00:00Z
P-041,Person 041,Person 041|P041 Alias,1980-06-15,GB,none,clear,2026-05-01T00:00:00Z
P-042,Person 042,Person 042|P042 Alias,1980-07-15,DE,none,clear,2026-05-01T00:00:00Z
P-043,Person 043,Person 043|P043 Alias,1980-08-15,KY,none,clear,2026-05-01T00:00:00Z
P-044,Person 044,Person 044|P044 Alias,1980-09-15,VG,none,clear,2026-05-01T00:00:00Z
P-045,Person 045,Person 045|P045 Alias,1980-10-15,US,none,clear,2026-05-01T00:00:00Z
P-046,Person 046,Person 046|P046 Alias,1980-11-15,GB,none,clear,2026-05-01T00:00:00Z
P-047,Person 047,Person 047|P047 Alias,1980-12-15,DE,none,clear,2026-05-01T00:00:00Z
P-048,Person 048,Person 048|P048 Alias,1980-01-15,KY,none,clear,2026-05-01T00:00:00Z
P-049,Person 049,Person 049|P049 Alias,1980-02-15,VG,none,clear,2026-05-01T00:00:00Z
P-050,Person 050,Person 050|P050 Alias,1980-03-15,US,none,clear,2026-05-01T00:00:00Z
P-051,Person 051,Person 051|P051 Alias,1980-04-15,GB,none,clear,2026-05-01T00:00:00Z
P-052,Person 052,Person 052|P052 Alias,1980-05-15,DE,none,clear,2026-05-01T00:00:00Z
P-053,Person 053,Person 053|P053 Alias,1980-06-15,KY,none,clear,2026-05-01T00:00:00Z
P-054,Person 054,Person 054|P054 Alias,1980-07-15,VG,none,clear,2026-05-01T00:00:00Z
